kList(5),            Time(us),                Time%,   Calls (Top 327, sorted by calls)
-------------------------------------------------------------
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 1203.9680000002209, 0.07584037427984108%, 30
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup'), 16391.095999999452, 1.032508219069391%, 27
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::adaptive_avg_pool2d'), 1717.3769999997621, 0.10818104339944976%, 27
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::adaptive_avg_pool2d', 'aten::mean'), 3158.7549999998273, 0.1989763527421513%, 27
('aten::select', 'aten::as_strided', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 3764.166999999731, 0.2371124765207662%, 27
('aten::as_strided', 'aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty'), 3777.9169999993255, 0.23797861677226526%, 27
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::view'), 1278.3410000006897, 0.0805252796563537%, 27
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::view', 'aten::t'), 936.3880000007493, 0.058984970025113326%, 27
('aten::empty_strided', 'aten::copy_', 'aten::view', 'aten::t', 'aten::transpose'), 706.4930000004542, 0.04450341997969414%, 27
('aten::copy_', 'aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 693.3930000001055, 0.04367822454003779%, 27
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 1441.9580000001724, 0.09083184471331805%, 27
('aten::as_strided', 'aten::matmul', 'aten::mm', 'aten::empty', 'aten::relu_'), 2086.6749999997965, 0.13144386977090997%, 27
('aten::matmul', 'aten::mm', 'aten::empty', 'aten::relu_', 'aten::threshold_'), 2149.3790000001327, 0.1353937212859567%, 27
('aten::mm', 'aten::empty', 'aten::relu_', 'aten::threshold_', 'aten::t'), 1505.6699999999528, 0.09484519218276881%, 27
('aten::empty', 'aten::relu_', 'aten::threshold_', 'aten::t', 'aten::transpose'), 820.238999999824, 0.05166851009237606%, 27
('aten::relu_', 'aten::threshold_', 'aten::t', 'aten::transpose', 'aten::as_strided'), 815.3369999996276, 0.05135972321869286%, 27
('aten::threshold_', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 1095.080999999851, 0.06898136238398041%, 27
('aten::as_strided', 'aten::matmul', 'aten::mm', 'aten::empty', 'aten::add'), 1857.8269999998101, 0.11702827236866269%, 27
('aten::matmul', 'aten::mm', 'aten::empty', 'aten::add', 'aten::to'), 2041.874999999778, 0.12862182735139577%, 27
('aten::mm', 'aten::empty', 'aten::add', 'aten::to', 'aten::empty_strided'), 1394.8259999993497, 0.08786290490709463%, 27
('aten::copy_', 'aten::hardtanh_', 'aten::clamp_', 'aten::clamp', 'aten::div'), 1005.994999999446, 0.0633696554423313%, 27
('aten::hardtanh_', 'aten::clamp_', 'aten::clamp', 'aten::div', 'aten::to'), 1084.8819999991474, 0.06833890678936883%, 27
('aten::clamp_', 'aten::clamp', 'aten::div', 'aten::to', 'aten::empty_strided'), 826.4549999995261, 0.05206006847806472%, 27
('aten::clamp', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 756.5259999995851, 0.04765509963087812%, 27
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::view'), 401.99899999991885, 0.025322728361642576%, 27
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::view', 'aten::expand_as'), 520.6670000003623, 0.03279786518842881%, 27
('aten::copy_', 'aten::empty', 'aten::view', 'aten::expand_as', 'aten::expand'), 713.153000000274, 0.044922946821512176%, 27
('aten::empty', 'aten::view', 'aten::expand_as', 'aten::expand', 'aten::as_strided'), 695.4160000003767, 0.043805657393061%, 27
('aten::view', 'aten::expand_as', 'aten::expand', 'aten::as_strided', 'aten::mul'), 1659.894000000504, 0.10456007321197713%, 27
('aten::expand_as', 'aten::expand', 'aten::as_strided', 'aten::mul', 'aten::empty'), 1597.0150000003232, 0.10059919809373896%, 27
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add'), 1058.7369999996736, 0.06669198047113929%, 27
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 35970.90700000054, 2.2658800317490964%, 25
('aten::expand', 'aten::as_strided', 'aten::mul', 'aten::empty', 'aten::add'), 1997.6370000000134, 0.12583518644617808%, 24
('aten::as_strided', 'aten::mul', 'aten::empty', 'aten::add', 'aten::to'), 1971.5869999999668, 0.12419424436965028%, 24
('aten::mul', 'aten::empty', 'aten::add', 'aten::to', 'aten::empty_strided'), 1965.556000000015, 0.12381433950733003%, 24
('aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::zero_', 'aten::view'), 5157.459999999832, 0.3248788146638654%, 24
('aten::fill_', 'aten::resize_', 'aten::zero_', 'aten::view', 'aten::select'), 2694.0899999997346, 0.1697061665621673%, 24
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 10760.698999999993, 0.6778381482502537%, 22
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 9682.449000000022, 0.6099170045261502%, 22
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 9673.65300000002, 0.6093629267332475%, 22
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 9661.922000000079, 0.6086239673666595%, 22
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 8597.128000000113, 0.5415504442407029%, 22
('aten::resize_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 1432.3959999997169, 0.09022951503437456%, 21
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::transpose'), 1465.1729999996605, 0.09229420441795087%, 21
('aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::transpose', 'aten::as_strided'), 1428.0529999997816, 0.08995594069893342%, 21
('aten::zero_', 'aten::fill_', 'aten::transpose', 'aten::as_strided', 'aten::select'), 1456.0519999998505, 0.09171965421911511%, 21
('aten::fill_', 'aten::transpose', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 789.4619999995921, 0.04972980474536698%, 21
('aten::reshape', 'aten::view', 'aten::addmm_', 'aten::zero_', 'aten::fill_'), 2679.902000000293, 0.16881243580666563%, 21
('aten::view', 'aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::resize_'), 2664.4080000002286, 0.16783643747523447%, 21
('aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::zero_'), 2711.624999999767, 0.1708107316029319%, 21
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 21571.487999999666, 1.3588315666967687%, 18
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add', 'aten::conv2d'), 2952.6469999999645, 0.1859931938358878%, 18
('aten::select', 'aten::as_strided', 'aten::add', 'aten::conv2d', 'aten::convolution'), 5538.145000000131, 0.3488589311476413%, 18
('aten::as_strided', 'aten::add', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 8026.466000000102, 0.5056032930977526%, 18
('aten::add', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup'), 10432.147000000114, 0.6571419946561576%, 18
('aten::addmm_', 'aten::zero_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 7025.492999999973, 0.4425499835712443%, 18
