kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 9443.327000074583, 0.007173279232161778%, 159
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 7884.075999997556, 0.0059888510304811965%, 3
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 7834.952000004239, 0.005951535774009617%, 3
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_'), 7810.196999994107, 0.005932731540346688%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 7807.070000006817, 0.0059303562287570735%, 3
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 7774.351000008173, 0.005905502432718292%, 3
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 7764.776000001468, 0.0058982291328849275%, 3
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 7127.820999930613, 0.005414389478301984%, 159
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 5910.398000075191, 0.0044896184604657895%, 159
('aten::mean', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 5348.935999991372, 0.004063124312289256%, 3
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 4181.839999902993, 0.003176582365864344%, 159
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 3217.4739999501035, 0.002444036876376332%, 159
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 3152.7969999918714, 0.002394907350246902%, 159
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 3068.997999950123, 0.002331252493577145%, 159
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 2813.1569999894127, 0.002136912201036267%, 3
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 1549.673999980092, 0.0011771533825515595%, 16
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 1379.3609999455512, 0.0010477813184363073%, 40
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 775.9489999674261, 0.0005894213815363035%, 14
('aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 722.991999996826, 0.0005491945263099943%, 3
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 703.4530000044033, 0.0005343524369847228%, 3
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 680.2090000035241, 0.0005166959794166054%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 609.4070000061765, 0.0004629138202080467%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 563.6910000033677, 0.00042818732673863%, 3
('aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 460.8679999979213, 0.0003500815817483513%, 3
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 458.62899999972433, 0.0003483808069909221%, 3
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 453.27199999336153, 0.0003443115571500525%, 3
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 420.03900000080466, 0.00031906731974652323%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 342.79100000020117, 0.00026038869153360784%, 3
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten'), 305.28100000415, 0.00023189558693520338%, 3
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 202.2549999980256, 0.0001536356403919147%, 3
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_'), 186.95999999996275, 0.0001420173510071299%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 177.22199999541044, 0.0001346202341652695%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view'), 176.38200000673532, 0.00013398215878423784%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 174.93499998934567, 0.00013288299795102755%, 3
('aten::copy_', 'aten::flatten', 'aten::view', 'aten::t', 'aten::transpose'), 159.54700001422316, 0.00012119406452267329%, 3
('aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view', 'aten::t'), 159.17100000940263, 0.00012090844982079436%, 3
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 156.2260000081733, 0.00011867138788834532%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 153.33199999015778, 0.0001164730662346588%, 3
('aten::empty', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 151.68000000715256, 0.00011521818464795432%, 2
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 150.57300000451505, 0.00011437729243604002%, 3
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty'), 148.88100000098348, 0.00011309202629137989%, 3
('aten::flatten', 'aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 142.4820000100881, 0.00010823125913368954%, 3
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 125.49799999408424, 9.532998243397622e-05%, 3
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 124.81299999076873, 9.48096471434822e-05%, 3
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 73.31300000939518, 5.5689548864581004e-05%, 3
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 70.36599999852479, 5.345096769769034e-05%, 3
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 70.12199999764562, 5.326562198860495e-05%, 1
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 56.55300000682473, 4.29584256123077e-05%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 55.902000008150935, 4.246391718634858e-05%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 54.09500001836568, 4.109129549283519e-05%, 3
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 52.11199999973178, 3.958498179100842e-05%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 50.475999999791384, 3.834225400838515e-05%, 1
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 50.10399999842048, 3.805967776336293e-05%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 47.10700000077486, 3.578311592856356e-05%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 46.859000001102686, 3.5594731766158666e-05%, 1
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty'), 46.6980000063777, 3.547243398715242e-05%, 2
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 46.215999998152256, 3.510630024542367e-05%, 2
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty', 'aten::zero_'), 45.61600000038743, 3.465053211166853e-05%, 2
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 43.825000011362135, 3.329006423567783e-05%, 3
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 40.6009999923408, 3.0841070106728126e-05%, 2
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 34.68199999630451, 2.6344917453495062e-05%, 1
Total time: 131645885.99499829us
