kList(4),            Time(us),                Time%,   Calls (Top 364, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::mul', 'aten::empty', 'aten::add'), 2725.304999999826, 0.09495708322794022%, 48
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm'), 2652.9659999999567, 0.09243659453268813%, 48
('aten::div', 'aten::empty', 'aten::add', 'aten::t'), 2637.4689999999487, 0.0918966366495212%, 24
('aten::neg', 'aten::empty', 'aten::neg', 'aten::resize_'), 2603.1270000007935, 0.09070006740236027%, 48
('aten::matmul', 'aten::expand', 'aten::as_strided', 'aten::view'), 2600.7240000000056, 0.09061634030720155%, 12
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::add_'), 2588.9319999999525, 0.09020547476171985%, 73
('aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 2571.947999999784, 0.0896137057297915%, 49
('aten::empty', 'aten::neg', 'aten::resize_', 'aten::mul'), 2571.1810000006226, 0.08958698135114172%, 48
('aten::empty', 'aten::matmul', 'aten::expand', 'aten::as_strided'), 2551.329000000029, 0.08889528335172603%, 12
('aten::copy_', 'aten::masked_fill_', 'aten::softmax', 'aten::_softmax'), 2531.277999999933, 0.08819665164782035%, 12
('aten::masked_fill_', 'aten::softmax', 'aten::_softmax', 'aten::empty'), 2485.151999999922, 0.08658949559703949%, 12
('aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided'), 2478.2309999999907, 0.08634834901967878%, 61
('aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_'), 2441.551999999734, 0.08507035229793855%, 48
('aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty'), 2433.6069999997853, 0.08479352675869023%, 48
('aten::sub', 'aten::empty', 'aten::mul', 'aten::empty'), 2378.4500000000417, 0.0828717059571361%, 24
('aten::copy_', 'aten::div', 'aten::empty', 'aten::add'), 2377.032999999927, 0.08282233379991154%, 24
('aten::conj', 'aten::mul', 'aten::empty', 'aten::add'), 2367.7260000003153, 0.08249805245394636%, 12
('aten::resize_', 'aten::sub', 'aten::empty', 'aten::mul'), 2354.0699999999606, 0.08202224004814425%, 24
