kList(4),            Time(us),                Time%,   Calls (Top 320, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::contiguous'), 36791.50200000033, 0.20107189391876437%, 2
('aten::zero_', 'aten::fill_', 'aten::contiguous', 'aten::empty_like'), 36790.267000000924, 0.2010651444311009%, 2
('aten::masked_fill', 'aten::expand', 'aten::as_strided', 'aten::expand'), 36784.318999998985, 0.20103263758684597%, 18
('aten::resize_', 'aten::as_strided_', 'aten::masked_fill', 'aten::expand'), 36247.658999998355, 0.19809969827410548%, 18
('aten::copy_', 'aten::resize_', 'aten::as_strided_', 'aten::masked_fill'), 36183.145999998625, 0.1977471236199822%, 18
('aten::clone', 'aten::empty_strided', 'aten::copy_', 'aten::masked_fill_'), 36101.93800000474, 0.1973033079160154%, 18
('aten::as_strided_', 'aten::masked_fill', 'aten::expand', 'aten::as_strided'), 36038.288999998564, 0.1969554551706375%, 18
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::add_'), 35205.456000000995, 0.19240387941198658%, 24
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 30459.798000000417, 0.1664680412406925%, 1
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::masked_fill_'), 30414.301999998817, 0.1662193977662823%, 18
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::max'), 24851.04300000053, 0.13581522933928367%, 1
('aten::resize_', 'aten::resize_', 'aten::max', 'aten::empty'), 24844.34200000111, 0.1357786072203761%, 1
('aten::max', 'aten::empty', 'aten::empty', 'aten::unsqueeze_'), 24823.852000000887, 0.13566662584200126%, 1
('aten::resize_', 'aten::max', 'aten::empty', 'aten::empty'), 24823.172000000253, 0.13566290952490195%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 24308.452999988243, 0.13284988155533478%, 208
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 23521.163999998942, 0.12854721159939608%, 194
('aten::zero_', 'aten::fill_', 'aten::mul_', 'aten::to'), 20133.085999999195, 0.1100307819030917%, 1
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::mul_'), 20088.026000000536, 0.10978452124377669%, 1
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::t'), 18991.99899999611, 0.1037945449531379%, 97
('aten::fill_', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 18565.05100000091, 0.10146120061281%, 2
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 18432.403999998805, 0.10073626191601352%, 85
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 18306.070999998134, 0.1000458303164943%, 109
('aten::view', 'aten::view', 'aten::t', 'aten::transpose'), 14750.538000000175, 0.08061423020948456%, 67
('aten::expand', 'aten::as_strided', 'aten::clone', 'aten::empty_like'), 14692.711999999476, 0.08029820116185593%, 18
('aten::as_strided', 'aten::expand', 'aten::as_strided', 'aten::clone'), 14221.197999999378, 0.0777212959572456%, 18
('aten::as_strided', 'aten::clone', 'aten::empty_like', 'aten::empty'), 13984.709999999133, 0.07642884831406133%, 18
('aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose'), 13602.519000005908, 0.07434010868589004%, 97
('aten::eq', 'aten::empty', 'aten::eq', 'aten::item'), 12914.454999999754, 0.070579720441383%, 18
('aten::view', 'aten::eq', 'aten::empty', 'aten::eq'), 12469.190000000643, 0.06814627054185024%, 18
('aten::add', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 11804.00399999964, 0.06451091450695808%, 2
('aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided'), 11652.940000005998, 0.06368532373380438%, 97
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::view'), 11223.153999998316, 0.06133646923470527%, 54
('aten::fill_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 11031.087999999523, 0.06028679547098781%, 1
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros'), 10041.210000002757, 0.05487694174422594%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 10010.63500000164, 0.05470984410421138%, 1
('aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 9998.67100000009, 0.05464445878400468%, 1
('aten::_unsafe_view', 'aten::view', 'aten::view', 'aten::t'), 9624.345999999514, 0.05259870820031673%, 36
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 9293.009999997914, 0.05078789990431977%, 1
('aten::resize_', 'aten::_unsafe_view', 'aten::view', 'aten::eq'), 8978.0470000005, 0.04906657287277277%, 18
('aten::mul', 'aten::empty', 'aten::layer_norm', 'aten::native_layer_norm'), 8847.73300000003, 0.04835438442272732%, 2
('aten::_unsafe_view', 'aten::view', 'aten::eq', 'aten::empty'), 8808.73599999999, 0.04814125910245206%, 18
('aten::eq', 'aten::item', 'aten::_local_scalar_dense', 'aten::to'), 8551.51800000007, 0.04673551843956799%, 18
('aten::embedding', 'aten::reshape', 'aten::clone', 'aten::empty_like'), 8094.653000000228, 0.04423867254251373%, 2
('aten::empty', 'aten::eq', 'aten::item', 'aten::_local_scalar_dense'), 6791.257999999856, 0.03711539442317193%, 18
('aten::empty', 'aten::layer_norm', 'aten::native_layer_norm', 'aten::empty'), 6427.189999999802, 0.035125700110740024%, 2
