kList(5),            Time(us),                Time%,   Calls (Top 127, sorted by calls)
-------------------------------------------------------------
('aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view', 'aten::sigmoid'), 6967.358999999982, 1.048342679548237%, 1
('aten::copy_', 'aten::_unsafe_view', 'aten::view', 'aten::sigmoid', 'aten::empty'), 6961.70199999999, 1.0474914998489855%, 1
('aten::_unsafe_view', 'aten::view', 'aten::sigmoid', 'aten::empty', 'aten::view'), 990.9739999999874, 0.14910676176189916%, 1
('aten::view', 'aten::sigmoid', 'aten::empty', 'aten::view', 'aten::rsub'), 1382.6759999999922, 0.20804414740033256%, 1
('aten::sigmoid', 'aten::empty', 'aten::view', 'aten::rsub', 'aten::to'), 1396.0969999999943, 0.2100635362537301%, 1
('aten::empty', 'aten::view', 'aten::rsub', 'aten::to', 'aten::empty_strided'), 432.8790000000008, 0.06513307707844009%, 1
('aten::view', 'aten::rsub', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 436.26699999999255, 0.06564285201587344%, 1
('aten::rsub', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 429.6689999999944, 0.06465008488565131%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::zeros'), 37.653999999994994, 0.005665603746800497%, 1
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::zeros', 'aten::empty'), 23.103999999992084, 0.003476340069210475%, 1
('aten::copy_', 'aten::empty', 'aten::zeros', 'aten::empty', 'aten::zero_'), 22.03299999999581, 0.0033151922067575345%, 1
('aten::empty', 'aten::broadcast_tensors', 'aten::mse_loss', 'aten::empty', 'aten::mean'), 2494.9500000000116, 0.375402296385028%, 1
('aten::broadcast_tensors', 'aten::mse_loss', 'aten::empty', 'aten::mean', 'aten::sum'), 2834.3770000000077, 0.426474131594182%, 1
('aten::mse_loss', 'aten::empty', 'aten::mean', 'aten::sum', 'aten::empty'), 2834.0869999999995, 0.42643049678548656%, 1
('aten::empty', 'aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided'), 728.593000000008, 0.10962764196880036%, 1
('aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_'), 726.7069999999949, 0.10934386524742835%, 1
('aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::div_'), 372.3539999999921, 0.0560261915742388%, 1
('aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::div_', 'aten::to'), 42.77099999997881, 0.006435532422964791%, 1
('aten::as_strided', 'aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 43.264999999984866, 0.006509862062603451%, 1
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 45.97499999997672, 0.0069176218266068824%, 1
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::ones_like'), 52.61799999998766, 0.007917159875421423%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::ones_like', 'aten::empty_like'), 30.918000000005122, 0.004652072466235461%, 1
('aten::empty_strided', 'aten::copy_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 21.086000000010245, 0.0031727019866444254%, 1
('aten::copy_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 20.277000000001863, 0.0030509759168720323%, 1
('aten::mse_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 5127.440000000002, 0.771499529279721%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 4314.432000000001, 0.6491703963594628%, 1
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::mse_loss_backward'), 3650.1640000000043, 0.5492214063536162%, 1
('aten::neg', 'aten::empty', 'aten::neg', 'aten::resize_', 'aten::mul'), 4004.720000000001, 0.6025696243928907%, 1
('aten::empty', 'aten::neg', 'aten::resize_', 'aten::mul', 'aten::to'), 2299.7309999999998, 0.3460286973557918%, 1
('aten::neg', 'aten::resize_', 'aten::mul', 'aten::to', 'aten::empty_strided'), 2300.3139999999985, 0.34611641836775275%, 1
('aten::resize_', 'aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 602.2779999999912, 0.09062167348531135%, 1
('aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 598.6289999999863, 0.09007262722005119%, 1
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 22.799999999959255, 0.003430598752505382%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 19.786999999952968, 0.002977248136657191%, 1
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 37.45400000002701, 0.005635510775292055%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 31.95000000001164, 0.0048073521992448584%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 37.138000000006286, 0.005587963880297988%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 35.83900000000722, 0.005392510030319511%, 1
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 39.91700000001583, 0.006006105719476157%, 1
Total time: 664607.0160000003us
