kList(4),            Time(us),                Time%,   Calls (Top 206, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::fill_', 'aten::index_add_', 'aten::select'), 51.753000000000156, 0.662736238967683%, 3
('aten::as_strided', 'aten::fill_', 'aten::div_', 'aten::to'), 51.40299999999979, 0.6582542247146168%, 1
('aten::fill_', 'aten::index_add_', 'aten::select', 'aten::as_strided'), 51.34900000000016, 0.6575627139441492%, 3
('aten::slice_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 50.38400000000047, 0.6452051603607124%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::_index_put_impl_'), 49.62100000000055, 0.6354343692890394%, 1
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::view'), 48.37900000000013, 0.6195296215681705%, 1
('aten::empty', 'aten::empty', 'aten::empty', 'aten::cat'), 47.03199999999981, 0.6022802695713841%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::_indices'), 46.08599999999933, 0.5901660253331034%, 3
('aten::_nnz', 'aten::sparse_dim', 'aten::select', 'aten::as_strided'), 45.565999999997985, 0.5835070327285377%, 9
('aten::_values', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 45.52599999999984, 0.5829948025282117%, 3
('aten::sparse_dim', 'aten::select', 'aten::as_strided', 'aten::sparse_dim'), 44.884000000000924, 0.5747735078126099%, 9
('aten::zero_', 'aten::_index_put_impl_', 'aten::as_strided', 'aten::reshape'), 44.417999999999665, 0.5688060259785178%, 1
('aten::_index_put_impl_', 'aten::as_strided', 'aten::reshape', 'aten::view'), 43.07699999999977, 0.5516335085117894%, 1
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::bmm'), 41.68299999999999, 0.5337822860295991%, 1
('aten::new_zeros', 'aten::zeros', 'aten::empty', 'aten::zero_'), 40.0270000000005, 0.5125759557351206%, 1
('aten::as_strided', 'aten::copy_', 'aten::_coalesced_', 'aten::narrow'), 39.64899999999943, 0.5077353803418005%, 3
('aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::div_'), 39.32199999999989, 0.5035478984539462%, 1
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::select'), 37.375999999999976, 0.4786278992069257%, 1
('aten::_indices', 'aten::_values', 'aten::to', 'aten::empty_strided'), 37.00799999999981, 0.4739153813637047%, 3
('aten::empty_like', 'aten::empty', 'aten::fill_', 'aten::index_add_'), 36.22400000000107, 0.4638756694368632%, 3
('aten::as_strided', 'aten::add_', 'aten::_nnz', 'aten::sparse_dim'), 36.120999999998276, 0.4625566766709265%, 6
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::is_coalesced'), 35.835999999999785, 0.45890703649345294%, 3
('aten::empty', 'aten::zero_', 'aten::_index_put_impl_', 'aten::as_strided'), 35.51999999999998, 0.45486041791069143%, 1
('aten::view', 'aten::reshape', 'aten::view', 'aten::to'), 35.46900000000096, 0.4542073244052579%, 3
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::_indices'), 35.01300000000083, 0.4483679001212676%, 3
('aten::_indices', 'aten::_values', 'aten::_indices', 'aten::_values'), 34.652000000000044, 0.4437450225630999%, 3
('aten::_values', 'aten::_indices', 'aten::_values', 'aten::to'), 34.50500000000011, 0.44186257657681494%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 34.054000000000315, 0.4360871810678727%, 1
('aten::empty_strided', 'aten::copy_', 'aten::_indices', 'aten::to'), 33.55199999999877, 0.42965869205346197%, 3
('aten::empty', 'aten::empty', 'aten::empty', 'aten::select'), 32.653999999999826, 0.4181591240556207%, 2
('aten::transpose', 'aten::as_strided', 'aten::bmm', 'aten::empty'), 32.06099999999992, 0.410565311335435%, 1
('aten::view', 'aten::empty', 'aten::cat', 'aten::_cat'), 32.05899999999997, 0.41053969982541805%, 1
('aten::copy_', 'aten::_indices', 'aten::to', 'aten::empty_strided'), 32.03599999999915, 0.41024516746020645%, 3
('aten::squeeze', 'aten::as_strided', 'aten::empty', 'aten::empty'), 31.335999999997966, 0.4012811389540684%, 3
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 31.0859999999999, 0.3980797002019064%, 2
('aten::_nnz', 'aten::squeeze', 'aten::as_strided', 'aten::empty'), 30.620999999998276, 0.39212502412281824%, 3
('aten::dense_dim', 'aten::_nnz', 'aten::squeeze', 'aten::as_strided'), 29.62599999999975, 0.37938329788913394%, 3
('aten::resize_', 'aten::select', 'aten::as_strided', 'aten::select'), 28.461000000000695, 0.36446459330395586%, 3
('aten::sparse_dim', 'aten::dense_dim', 'aten::_nnz', 'aten::squeeze'), 28.05599999999822, 0.35927826252538164%, 3
('aten::empty', 'aten::resize_', 'aten::view', 'aten::transpose'), 27.55600000000004, 0.3528753850210315%, 1
('aten::_indices', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 27.424999999998818, 0.35119783111487%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::ones_like'), 26.435999999999922, 0.33853293941123336%, 1
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 26.30300000000034, 0.33682977399507535%, 3
('aten::reshape', 'aten::view', 'aten::empty', 'aten::cat'), 25.972999999999956, 0.332603874842184%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::slice'), 25.798999999999978, 0.33037567347066227%, 1
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose'), 25.769999999999982, 0.3300043065754087%, 1
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::reshape'), 25.254000000000133, 0.3233965369908972%, 2
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::zeros'), 25.020999999999958, 0.3204127960738569%, 1
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::empty'), 25.003999999999905, 0.32019509823870757%, 1
('aten::as_strided', 'aten::bmm', 'aten::empty', 'aten::resize_'), 24.34699999999998, 0.3117817171979617%, 1
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::t'), 23.995999999999867, 0.30728689718989016%, 1
('aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_'), 23.94699999999989, 0.3066594151944618%, 1
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::mse_loss_backward'), 23.246000000000322, 0.29768258093333577%, 1
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros'), 22.575000000000273, 0.2890899193224659%, 1
('aten::threshold', 'aten::empty', 'aten::select', 'aten::as_strided'), 22.492999999999938, 0.2880398474117444%, 1
('aten::resize_', 'aten::view', 'aten::transpose', 'aten::as_strided'), 22.26800000000003, 0.28515855253477745%, 1
('aten::empty_strided', 'aten::copy_', 'aten::is_coalesced', 'aten::_coalesced_'), 18.875, 0.24170862579009872%, 3
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 18.445000000000164, 0.23620215113633963%, 1
('aten::empty', 'aten::resize_', 'aten::select', 'aten::as_strided'), 18.33300000000054, 0.23476790657536473%, 3
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::add'), 18.199999999999818, 0.23306474115919218%, 1
