kList(3),            Time(us),                Time%,   Calls (Top 300, sorted by calls)
-------------------------------------------------------------
('aten::slice', 'aten::as_strided', 'aten::contiguous'), 3661.9500000000025, 0.03414238927337513%, 4
('aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 3685.9280000000026, 0.03436594945579078%, 4
('aten::empty', 'aten::copy_', 'aten::view'), 3626.1309999999985, 0.03380842888577203%, 4
('aten::copy_', 'aten::view', 'aten::transpose'), 3628.45, 0.033830050207943274%, 4
('aten::view', 'aten::transpose', 'aten::as_strided'), 79.35899999999947, 0.0007399079371225049%, 4
('aten::fill_', 'aten::view', 'aten::add'), 107.48500000033528, 0.0010021422223296795%, 4
('aten::einsum', 'aten::unsqueeze', 'aten::as_strided'), 2175.369, 0.020282170759085387%, 3
('aten::permute', 'aten::as_strided', 'aten::unsqueeze'), 41.50300000000061, 0.000386955469630363%, 3
('aten::reshape', 'aten::view', 'aten::permute'), 66.54099999999926, 0.0006203986194895145%, 3
('aten::reshape', 'aten::view', 'aten::bmm'), 1796.046999999999, 0.01674554153586955%, 3
('aten::view', 'aten::bmm', 'aten::empty'), 1778.0609999999986, 0.016577848090172327%, 3
('aten::empty', 'aten::resize_', 'aten::view'), 40.04800000000046, 0.00037338969828100925%, 3
('aten::resize_', 'aten::view', 'aten::permute'), 70.13400000000092, 0.000653898149701367%, 3
('aten::permute', 'aten::as_strided', 'aten::view'), 51.42300000000023, 0.00047944512721494713%, 3
('aten::view', 'aten::log_softmax', 'aten::_log_softmax'), 1611.6759999999995, 0.015026548525937294%, 3
('aten::expand', 'aten::as_strided', 'aten::unsqueeze'), 38.91999999999962, 0.00036287272915243134%, 3
('aten::squeeze', 'aten::as_strided', 'aten::squeeze'), 48.29300000020794, 0.0004502624025959402%, 3
('aten::transpose', 'aten::as_strided', 'aten::slice'), 61.080000000001746, 0.0005694826900470545%, 3
('aten::empty', 'aten::resize_', 'aten::transpose'), 47.88099999912083, 0.00044642109825870273%, 3
('aten::resize_', 'aten::transpose', 'aten::as_strided'), 48.046999998390675, 0.00044796880824776616%, 3
('aten::as_strided', 'aten::copy_', 'aten::t'), 51.55900000000048, 0.0004807131305850608%, 2
('aten::copy_', 'aten::t', 'aten::transpose'), 57.46699999999933, 0.0005357966887513549%, 2
('aten::empty', 'aten::add', 'aten::t'), 55.45400000000109, 0.0005170283741628859%, 2
('aten::add', 'aten::t', 'aten::transpose'), 61.01100000000031, 0.0005688393648077934%, 2
('aten::empty', 'aten::add', 'aten::einsum'), 1345.5069999999982, 0.012544907430208236%, 2
('aten::add', 'aten::einsum', 'aten::unsqueeze'), 1364.2249999999995, 0.012719425717574005%, 2
('aten::permute', 'aten::as_strided', 'aten::permute'), 28.465000000000032, 0.0002653949700751303%, 2
('aten::as_strided', 'aten::view', 'aten::log_softmax'), 636.2889999999998, 0.005932474973270133%, 2
('aten::unsqueeze', 'aten::as_strided', 'aten::expand'), 26.55199999999968, 0.0002475590109058411%, 2
('aten::as_strided', 'aten::expand', 'aten::as_strided'), 15.264999999999418, 0.00014232405474079413%, 2
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 405.13899999999876, 0.0037773354217905415%, 2
('aten::_log_softmax', 'aten::empty', 'aten::view'), 215.20799999999872, 0.00200650345055079%, 2
('aten::empty', 'aten::view', 'aten::expand'), 37.953999999998814, 0.000353866175802957%, 2
('aten::view', 'aten::expand', 'aten::as_strided'), 29.954999999999018, 0.000279287065821193%, 2
('aten::zero_', 'aten::fill_', 'aten::fill_'), 1078.7309999999998, 0.010057606937084665%, 2
('aten::fill_', 'aten::fill_', 'aten::detach'), 683.0299999999988, 0.0063682672197581495%, 2
('aten::clone', 'aten::empty_strided', 'aten::copy_'), 1014.4769999999999, 0.009458531286032237%, 2
('aten::empty_strided', 'aten::copy_', 'aten::fill_'), 787.2729999999992, 0.00734018247939426%, 2
('aten::add', 'aten::to', 'aten::empty_strided'), 100.93700000090121, 0.0009410915894857744%, 2
('aten::neg', 'aten::empty', 'aten::neg'), 37.49200000008568, 0.00034955869376706526%, 2
('aten::empty', 'aten::neg', 'aten::resize_'), 14.293999999761581, 0.00013327088361814976%, 2
('aten::empty', 'aten::fill_', 'aten::add'), 73.82400000095367, 0.0006883020646787106%, 2
('aten::log_softmax', 'aten::_log_softmax', 'aten::contiguous'), 1531.0990000000002, 0.01427528449980894%, 1
('aten::_log_softmax', 'aten::contiguous', 'aten::empty_like'), 936.027, 0.008727098459670252%, 1
('aten::empty', 'aten::copy_', 'aten::empty'), 318.2359999999999, 0.002967090591843634%, 1
('aten::copy_', 'aten::empty', 'aten::empty'), 314.7159999999999, 0.0029342716810878125%, 1
('aten::empty', 'aten::empty', 'aten::unsqueeze'), 12.997999999999593, 0.00012118755738754372%, 1
('aten::empty', 'aten::unsqueeze', 'aten::as_strided'), 12.101999999999862, 0.00011283365283151894%, 1
('aten::unsqueeze', 'aten::as_strided', 'aten::gather'), 186.625, 0.0017400083010810166%, 1
('aten::as_strided', 'aten::gather', 'aten::empty'), 183.65599999999995, 0.0017123266686849838%, 1
('aten::gather', 'aten::empty', 'aten::resize_'), 190.74800000000005, 0.0017784493150146113%, 1
('aten::empty', 'aten::resize_', 'aten::squeeze'), 17.60900000000038, 0.00016417846576683874%, 1
('aten::resize_', 'aten::squeeze', 'aten::as_strided'), 17.41800000000012, 0.00016239766691616533%, 1
('aten::squeeze', 'aten::as_strided', 'aten::einsum'), 834.116, 0.007776925728409876%, 1
('aten::as_strided', 'aten::einsum', 'aten::unsqueeze'), 832.393, 0.007760861244537069%, 1
('aten::as_strided', 'aten::view', 'aten::view'), 10.39599999999973, 9.692766937997471e-05%, 1
('aten::view', 'aten::view', 'aten::log_softmax'), 190.10599999999977, 0.001772463593223348%, 1
('aten::expand', 'aten::as_strided', 'aten::t'), 22.347999999999956, 0.0002083627890826978%, 1
('aten::as_strided', 'aten::t', 'aten::transpose'), 17.51300000000083, 0.00016328340456441145%, 1
('aten::permute', 'aten::as_strided', 'aten::squeeze'), 16.492999999999483, 0.00015377337928856427%, 1
