kList(4),            Time(us),                Time%,   Calls (Top 359, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::sub', 'aten::empty', 'aten::slice'), 212.85200000181794, 0.001984537156891412%, 20
('aten::sub', 'aten::empty', 'aten::slice', 'aten::as_strided'), 215.83400000119582, 0.00201233999548614%, 20
('aten::empty', 'aten::slice', 'aten::as_strided', 'aten::select'), 230.1840000008233, 0.002146132998137791%, 20
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::item'), 167.16600000020117, 0.0015585812600608666%, 20
('aten::select', 'aten::as_strided', 'aten::item', 'aten::_local_scalar_dense'), 178.66600000066683, 0.0016658021332731478%, 20
('aten::as_strided', 'aten::item', 'aten::_local_scalar_dense', 'aten::select'), 172.94999999878928, 0.0016125086974942003%, 20
('aten::item', 'aten::_local_scalar_dense', 'aten::select', 'aten::as_strided'), 172.58499999903142, 0.0016091056002163799%, 20
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 181.01200000289828, 0.0016876751914283725%, 20
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 1453.8710000021383, 0.013555245056689506%, 20
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 1438.7890000035986, 0.013414627212379458%, 20
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 1517.331000004895, 0.014146917805739196%, 20
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 1545.8360000029206, 0.014412685717963596%, 20
('aten::_local_scalar_dense', 'aten::select', 'aten::as_strided', 'aten::sub'), 198.46600000048056, 0.0018504085062729068%, 19
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 1074.853999999998, 0.010021459517482284%, 10
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 970.4539999999979, 0.009048080459838034%, 10
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 968.846999999997, 0.00903309750825149%, 10
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 966.673999999998, 0.009012837424992296%, 10
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 152.9569999999989, 0.0014261028785449278%, 10
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 211.14999999664724, 0.0019686684676084275%, 10
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 175.38999999780208, 0.0016352581697134632%, 10
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 174.9539999961853, 0.0016311931000706796%, 10
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 195.81300000008196, 0.0018256731169978282%, 10
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::relu'), 251.00100000000043, 0.0023402214257448734%, 8
('aten::as_strided', 'aten::copy_', 'aten::relu', 'aten::threshold'), 302.2680000000004, 0.0028182120785058672%, 8
('aten::copy_', 'aten::relu', 'aten::threshold', 'aten::empty'), 311.5719999999994, 0.002904958426708176%, 8
('aten::sub', 'aten::empty_strided', 'aten::exp', 'aten::empty'), 8515.257999999449, 0.07939246942181152%, 8
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::slice'), 11339.4599999981, 0.10572406981793886%, 8
('aten::zero_', 'aten::fill_', 'aten::slice', 'aten::as_strided'), 11221.047000000253, 0.10462003979542225%, 8
('aten::fill_', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 10762.23500000313, 0.10034228124951158%, 8
('aten::unsqueeze', 'aten::as_strided', 'aten::permute', 'aten::as_strided'), 98.49900000000116, 0.0009183607643572998%, 6
('aten::permute', 'aten::as_strided', 'aten::reshape', 'aten::view'), 128.86499999999955, 0.0012014798109513968%, 6
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm'), 3707.149999999441, 0.034563813922848054%, 6
('aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty'), 3675.7770000016317, 0.03427130605720303%, 6
('aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_'), 3728.8670000014827, 0.03476629354925464%, 6
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 7931.467000000001, 0.07394946239651787%, 5
