kList(5),            Time(us),                Time%,   Calls (Top 407, sorted by time)
-------------------------------------------------------------
('aten::view', 'aten::bmm', 'aten::empty', 'aten::resize_', 'aten::view'), 1815.1069999999993, 0.016923248478768974%, 3
('aten::reshape', 'aten::view', 'aten::bmm', 'aten::empty', 'aten::resize_'), 1813.6009999999992, 0.016909207206155828%, 3
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::copy_', 'aten::view_as'), 1808.295999998547, 0.016859745751153753%, 52
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::bmm', 'aten::empty'), 1801.6039999999994, 0.01679735252651447%, 3
('aten::select', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 1783.3429999991786, 0.016627095103406802%, 53
('aten::fill_', 'aten::log_', 'aten::log', 'aten::add_', 'aten::select'), 1694.5150000001013, 0.015798902431648897%, 26
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 1588.2040000027991, 0.014807706061968897%, 104
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 1560.394000004977, 0.01454841801990983%, 20
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 1558.0900000017136, 0.014526936551021045%, 20
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 1557.9130000034347, 0.01452528628194511%, 20
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::fill_'), 1555.3590000000004, 0.014501473924506734%, 2
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 1555.0949999969598, 0.0144990125061717%, 132
('aten::log_', 'aten::log', 'aten::add_', 'aten::select', 'aten::as_strided'), 1548.0340000007127, 0.014433178890057016%, 26
('aten::view', 'aten::log_softmax', 'aten::_log_softmax', 'aten::contiguous', 'aten::empty_like'), 1547.4970000000003, 0.014428172141449272%, 1
('aten::log_softmax', 'aten::_log_softmax', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 1546.786, 0.014421543094418761%, 1
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 1543.0320000010543, 0.014386542471991844%, 132
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 1541.389000008814, 0.014371223872526744%, 27
('aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 1539.8069999995641, 0.014356474009708766%, 50
('aten::as_strided', 'aten::view', 'aten::log_softmax', 'aten::_log_softmax', 'aten::contiguous'), 1538.2380000000003, 0.014341845353185593%, 1
('aten::select', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::unsqueeze'), 1532.2030000029772, 0.014285577703664658%, 52
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 1530.1240000035614, 0.01426619403450495%, 20
('aten::resize_', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm'), 1496.8699999991804, 0.01395614856336351%, 3
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 1488.4080000044778, 0.013877252647840241%, 20
('aten::fill_', 'aten::log_', 'aten::log', 'aten::add_', 'aten::slice'), 1476.9440000006944, 0.013770367422547938%, 26
('aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::select'), 1460.5870000036375, 0.013617862046656923%, 106
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 1438.609000007622, 0.013412948972662412%, 27
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::add', 'aten::einsum'), 1399.5339999999983, 0.013048631092539136%, 2
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 1396.5260000070557, 0.013020585841595416%, 27
('aten::threshold', 'aten::empty', 'aten::add', 'aten::einsum', 'aten::unsqueeze'), 1387.4879999999987, 0.012936319558742372%, 2
('aten::add', 'aten::einsum', 'aten::unsqueeze', 'aten::as_strided', 'aten::permute'), 1383.869, 0.012902577616121555%, 2
('aten::empty', 'aten::add', 'aten::einsum', 'aten::unsqueeze', 'aten::as_strided'), 1370.5109999999986, 0.012778033579224878%, 2
('aten::log_', 'aten::log', 'aten::add_', 'aten::slice', 'aten::as_strided'), 1361.4890000015366, 0.01269391647331904%, 26
('aten::einsum', 'aten::unsqueeze', 'aten::as_strided', 'aten::permute', 'aten::as_strided'), 1361.469, 0.012693730002220875%, 2
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::select', 'aten::as_strided'), 1354.494999998249, 0.012628707535269578%, 46
('aten::log', 'aten::add_', 'aten::select', 'aten::as_strided', 'aten::slice'), 1325.888999999981, 0.012361997944069524%, 26
('aten::permute', 'aten::as_strided', 'aten::view', 'aten::log_softmax', 'aten::_log_softmax'), 1269.5920000000006, 0.011837109813722978%, 2
('aten::_log_softmax', 'aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 1252.286, 0.011675756384876314%, 1
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 1214.0929999994114, 0.01131966187961597%, 1
