kList(4),            Time(us),                Time%,   Calls (Top 145, sorted by time)
-------------------------------------------------------------
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 386721.2599999986, 3.6167914996582993%, 47
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 348223.95499999844, 3.2567473544676413%, 48
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 348083.49599999934, 3.255433718601728%, 48
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 312525.7229999993, 2.922881401376707%, 14
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 295345.3629999999, 2.7622029323184822%, 45
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 293494.6589999995, 2.744894314489752%, 6
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 252737.4720000003, 2.3637147344180964%, 9
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 245715.35599999735, 2.298040741065817%, 12
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 243619.05800000788, 2.278435217472124%, 48
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 242450.2529999977, 2.2675040263894433%, 12
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 229904.40300000412, 2.150169583395632%, 48
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 229796.23700000858, 2.149157966218609%, 48
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 229577.66299999878, 2.14711376367003%, 48
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 227183.5689999993, 2.1247231176823203%, 9
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 217107.96199999982, 2.0304915004407547%, 2
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 214559.62900000042, 2.0066583418171593%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 210551.02400000265, 1.969168061377238%, 9
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 210404.93300000177, 1.9678017525092442%, 9
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 210363.70900000166, 1.9674162070836259%, 9
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 210335.91700000054, 1.9671562837751362%, 9
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 194811.25000001024, 1.8219626017919144%, 96
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 194037.5380000025, 1.814726498494124%, 48
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 166781.30499999737, 1.5598139244424027%, 14
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 148411.2529999991, 1.3880089196648662%, 2
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 138741.4030000018, 1.2975721247419258%, 48
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 134286.22, 1.2559052455953572%, 1
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 122452.0190000094, 1.145226464754568%, 48
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 96949.07200000156, 0.9067114114940754%, 17
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 96922.61100000166, 0.9064639362974127%, 17
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 96917.1540000015, 0.9064128999742114%, 17
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 79707.59999999916, 0.7454613954716682%, 2
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 73152.98499999894, 0.6841596821509843%, 9
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 57384.660000003176, 0.5366872007471062%, 48
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 57264.7620000022, 0.5355658606190006%, 48
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 57198.3320000004, 0.5349445773222694%, 48
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 57055.51599999936, 0.5336088977301545%, 48
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 41114.59999999724, 0.38452226751599244%, 12
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 40622.40999999805, 0.3799190848303188%, 9
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 40606.43799999892, 0.3797697074885367%, 9
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 40584.17600000079, 0.3795615032321723%, 9
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 34435.363000001176, 0.3220550330903778%, 9
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 33829.32099999839, 0.31638705519320715%, 15
