kList(5),            Time(us),                Time%,   Calls (Top 149, sorted by calls)
-------------------------------------------------------------
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::adaptive_avg_pool2d'), 6085.397000000288, 0.05691337513134715%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d'), 12115.406999999948, 0.11330874607850788%, 3
('aten::resize_', 'aten::resize_', 'aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d', 'aten::empty'), 12118.509000000078, 0.113337757380427%, 3
('aten::resize_', 'aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d', 'aten::empty', 'aten::resize_'), 12113.373000000021, 0.11328972319388539%, 3
('aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d', 'aten::empty', 'aten::resize_', 'aten::flatten'), 12160.622999999614, 0.11373162648711883%, 3
('aten::_adaptive_avg_pool2d', 'aten::empty', 'aten::resize_', 'aten::flatten', 'aten::view'), 6141.664999999572, 0.057439618824544104%, 3
('aten::empty', 'aten::resize_', 'aten::flatten', 'aten::view', 'aten::dropout'), 3000.998999999312, 0.028066695049764282%, 3
('aten::resize_', 'aten::flatten', 'aten::view', 'aten::dropout', 'aten::empty_like'), 3020.51599999849, 0.02824922682910286%, 3
('aten::flatten', 'aten::view', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 3018.6479999985313, 0.028231756451288077%, 3
('aten::view', 'aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 4681.436999999511, 0.04378290851603074%, 3
('aten::as_strided', 'aten::copy_', 'aten::relu_', 'aten::threshold_', 'aten::dropout'), 2147.8040000010515, 0.020087230917007058%, 3
('aten::copy_', 'aten::relu_', 'aten::threshold_', 'aten::dropout', 'aten::empty_like'), 2174.3470000004163, 0.020335473014617966%, 3
('aten::relu_', 'aten::threshold_', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 1871.9420000003884, 0.01750724517564611%, 3
('aten::threshold_', 'aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 2702.999999999476, 0.025279674108360434%, 3
('aten::as_strided', 'aten::copy_', 'aten::relu_', 'aten::threshold_', 'aten::t'), 759.1950000003562, 0.007100333771627607%, 3
('aten::copy_', 'aten::relu_', 'aten::threshold_', 'aten::t', 'aten::transpose'), 788.2539999999572, 0.007372106635077441%, 3
('aten::relu_', 'aten::threshold_', 'aten::t', 'aten::transpose', 'aten::as_strided'), 328.73800000105985, 0.0030745059219617443%, 3
('aten::threshold_', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 15025.494000000937, 0.14052519113474743%, 3
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty'), 147.58099999901606, 0.0013802440194457233%, 3
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_'), 178.76699999946868, 0.0016719095454371857%, 3
('aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 393.9600000004866, 0.003684491458284835%, 3
('aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 598.9730000002892, 0.005601865423498786%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 486.5000000008731, 0.004549967241487905%, 3
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 556.7260000007809, 0.0052067524408707135%, 3
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 582.8980000008014, 0.00545152477929641%, 3
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 359.2420000015409, 0.003359793076609815%, 3
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 153.13600000186125, 0.0014321968828359915%, 3
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 149.12200000183657, 0.0013946561459245589%, 3
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 73.06600000226172, 0.000683346159252311%, 3
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 48.572000002430286, 0.00045426723301996216%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 61.76900000043679, 0.0005776915242362783%, 3
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 64.59100000088802, 0.000604084139976276%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 65.50999999966007, 0.0006126790421126227%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 551.1509999973932, 0.005154612528462361%, 3
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 333.97999999823514, 0.0031235314682453714%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 172.7729999991716, 0.0016158509562351688%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 170.64500000001863, 0.0015959489412587765%, 3
('aten::_adaptive_avg_pool2d_backward', 'aten::empty', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 11143.723000000697, 0.10422111942061149%, 3
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 214567.84200000064, 2.006735153494354%, 3
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 38.82400000002235, 0.0003630995440561379%, 2
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty'), 39.782999999355525, 0.00037206854422375355%, 2
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty', 'aten::zero_'), 39.079999999608845, 0.00036549377141880464%, 2
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 696.9490000000224, 0.006518181128431991%, 2
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 701.0209999997169, 0.006556264307478067%, 2
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 79718.51199999871, 0.7455634494131625%, 2
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 152075.75199999893, 1.4222809657212578%, 2
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 220761.8309999993, 2.0646641299467277%, 2
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 289428.3519999995, 2.706864378942373%, 2
('aten::empty', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 166.06099999835715, 0.0015530773074612374%, 2
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 179013.413, 1.6742141108643023%, 1
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 22.39600000018254, 0.00020945748477083407%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 21.65900000021793, 0.00020256472864172917%, 1
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 54.86499999999069, 0.000513122204940891%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 59.11599999992177, 0.0005528794726556224%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 66.92099999985658, 0.0006258753499823494%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 64.44399999966845, 0.0006027093297192431%, 1
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 70.91799999959767, 0.000663257095230071%, 1
Total time: 10692384.673999997us
