kList(3),            Time(us),                Time%,   Calls (Top 133, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::copy_', 'aten::empty'), 142.76499998010695, 7.357478140556987e-05%, 3
('aten::view', 'aten::t', 'aten::transpose'), 129.04500001482666, 6.650409882601198e-05%, 3
('aten::empty', 'aten::resize_', 'aten::flatten'), 124.76100001856685, 6.429631426179668e-05%, 3
('aten::empty', 'aten::mul_', 'aten::to'), 111.14099999517202, 5.727716723973411e-05%, 2
('aten::empty', 'aten::expand', 'aten::as_strided'), 102.087999984622, 5.26116505029033e-05%, 9
('aten::zeros', 'aten::empty', 'aten::zero_'), 101.49299997228383, 5.230501375124713e-05%, 6
('aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 77.61700000241399, 4.0000376908412104e-05%, 3
('aten::zero_', 'aten::zero_', 'aten::zero_'), 68.78400000557303, 3.544823847102529e-05%, 2
('aten::add_', 'aten::zeros', 'aten::empty'), 61.48899997770786, 3.168871735255372e-05%, 2
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 55.854999985545874, 2.8785202359943062e-05%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like'), 53.87699999473989, 2.77658284450196e-05%, 3
('aten::zero_', 'aten::mul_', 'aten::to'), 53.206999998539686, 2.7420540011096496e-05%, 1
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 45.89699999988079, 2.3653288569559804e-05%, 2
('aten::resize_', 'aten::resize_', 'aten::ones_like'), 43.833999993279576, 2.259010939716795e-05%, 3
('aten::empty_strided', 'aten::zero_', 'aten::mul_'), 39.63800000026822, 2.0427676151578337e-05%, 1
('aten::addcdiv', 'aten::zeros', 'aten::empty'), 30.03599999472499, 1.5479229042254877e-05%, 2
('aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 24.734999988228083, 1.2747327548448412e-05%, 3
('aten::empty', 'aten::zeros_like', 'aten::empty_like'), 17.02699999511242, 8.774964471737444e-06%, 1
('aten::empty', 'aten::zero_', 'aten::zero_'), 15.480000004172325, 7.97770893863272e-06%, 2
('aten::empty_strided', 'aten::copy_', 'aten::zeros'), 14.851999998092651, 7.654065446345068e-06%, 1
('aten::copy_', 'aten::zeros', 'aten::empty'), 14.623999994248152, 7.536564304989234e-06%, 1
Total time: 194040671.6169994us
