kList(4),            Time(us),                Time%,   Calls (Top 142, sorted by calls)
-------------------------------------------------------------
('aten::adaptive_avg_pool2d', 'aten::_adaptive_avg_pool2d', 'aten::empty', 'aten::resize_'), 32867.4290000163, 0.016938422613219237%, 3
('aten::_adaptive_avg_pool2d', 'aten::empty', 'aten::resize_', 'aten::flatten'), 16520.86100001447, 0.00851412276732561%, 3
('aten::empty', 'aten::resize_', 'aten::flatten', 'aten::view'), 170.86900002136827, 8.805834292237056e-05%, 3
('aten::resize_', 'aten::flatten', 'aten::view', 'aten::t'), 223.6050000153482, 0.0001152361503142513%, 3
('aten::flatten', 'aten::view', 'aten::t', 'aten::transpose'), 201.45500001125038, 0.00010382101769307699%, 3
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 136.95300002023578, 7.05795330839484e-05%, 3
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty'), 170.14299997873604, 8.768419453554926e-05%, 3
('aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_'), 177.483999973163, 9.146742200701295e-05%, 3
('aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 512.9079999774694, 0.000264330150840673%, 3
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 729.3889999911189, 0.00037589490590446867%, 3
('aten::random_', 'aten::log_softmax', 'aten::_log_softmax', 'aten::empty'), 745.4679999928921, 0.00038418131301066045%, 3
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 797.9210000000894, 0.0004112132746968835%, 3
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 517.8810000028461, 0.00026689301561738974%, 3
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 186.24899999424815, 9.598451625743155e-05%, 3
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 164.7890000026673, 8.492497919607828e-05%, 3
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 81.6319999974221, 4.206953074175535e-05%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 48.865999998524785, 2.518338016010235e-05%, 3
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 57.891999989748, 2.9834982278362842e-05%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 58.62099999189377, 3.021067671194256e-05%, 3
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 61.78799998015165, 3.184280876027362e-05%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 488.3659999985248, 0.00025168228698077766%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 201.6039999946952, 0.00010389780570983821%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 170.21800000220537, 8.772284623822805e-05%, 3
('aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 159.5159999988973, 8.220750766816173e-05%, 3
('aten::_adaptive_avg_pool2d_backward', 'aten::empty', 'aten::resize_', 'aten::zero_'), 29918.846999991685, 0.015418853558209688%, 3
('aten::empty', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 2261.5919999908656, 0.0011655247228039038%, 3
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 1802696.0349999927, 0.92902999148456%, 3
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 49.07900000363588, 2.529315096399419e-05%, 2
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty'), 47.90999999642372, 2.4690699943045573e-05%, 2
('aten::addcdiv', 'aten::zeros', 'aten::empty', 'aten::zero_'), 32.14099999144673, 1.6564053156282184e-05%, 2
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 70.40500000491738, 3.628363034317048e-05%, 2
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 115.33399999886751, 5.9438054423206504e-05%, 2
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 956301.2109999992, 0.49283544683228164%, 2
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 1901638.3779999986, 0.9800205091814377%, 2
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 2846963.3249999955, 1.4671992738818065%, 2
('aten::add_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 64.32699997723103, 3.315129732399643e-05%, 2
('aten::empty', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 115.9929999858141, 5.977767393774175e-05%, 2
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 1440932.66, 0.7425931110175377%, 1
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros'), 19.581999998539686, 1.0091698732722876e-05%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 16.114999994635582, 8.304959913993511e-06%, 1
('aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 15.792999994009733, 8.139015322098148e-06%, 1
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 19.652999997138977, 1.0128288999086947e-05%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 43.0840000025928, 2.2203592496130243e-05%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 54.390999998897314, 2.8030721366629338e-05%, 1
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 54.305999998003244, 2.7986916116840343e-05%, 1
Total time: 194040671.6169994us
