kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 168.0869999981951, 0.0006550870505068881%, 3
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 167.42800000007264, 0.0006525187235984494%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view'), 152.0960000026971, 0.0005927651753956724%, 3
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 150.33899999782443, 0.0005859176027044767%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 150.25099999760278, 0.0005855746394735879%, 3
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 149.15399999916553, 0.0005812992910326613%, 2
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty'), 144.09399999817833, 0.0005615789053023718%, 3
('aten::copy_', 'aten::flatten', 'aten::view', 'aten::t', 'aten::transpose'), 143.8690000034403, 0.0005607020107006562%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 142.86899999459274, 0.0005568047012340714%, 3
('aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view', 'aten::t'), 138.73900000331923, 0.0005407088133134951%, 3
('aten::empty', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 130.56899999734014, 0.0005088677952299101%, 2
('aten::flatten', 'aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 128.88000000314787, 0.0005022852396217224%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 121.61600000085309, 0.00047397518389798166%, 3
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 107.244000001112, 0.0004179630527408041%, 3
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 106.90300000016578, 0.00041663407022076923%, 3
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 77.23699999973178, 0.00030101648860630573%, 2
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 72.8409999976866, 0.0002838839163348096%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 62.00000000279397, 0.0002416331848012843%, 3
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 61.23300000000745, 0.00023864394845600132%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 58.20099999895319, 0.00022682730625375578%, 3
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 51.83299999963492, 0.00020200923979277983%, 1
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 49.273999999742955, 0.0001920360249564489%, 1
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 48.81900000013411, 0.00019026274916636638%, 3
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 47.68900000024587, 0.0001858587895085254%, 1
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 45.22499999799766, 0.00017625581905906127%, 3
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 44.96999999973923, 0.0001752620051606624%, 1
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 42.695999999996275, 0.0001663995235130616%, 1
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 42.070999999996275, 0.00016396370511799716%, 1
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty'), 37.07699999958277, 0.00014450054181246245%, 2
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty', 'aten::zero_'), 36.82499999878928, 0.00014351841983248%, 2
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 36.43199999956414, 0.00014198677722868333%, 2
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 31.43500000005588, 0.00012251192199838035%, 1
Total time: 25658727.320000306us
