kList(4),            Time(us),                Time%,   Calls (Top 161, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::random_', 'aten::log_softmax', 'aten::_log_softmax'), 613.754999996163, 0.0023919931504855154%, 3
('aten::copy_', 'aten::empty', 'aten::random_', 'aten::log_softmax'), 453.7779999959748, 0.0017685132794652164%, 3
('aten::_log_softmax', 'aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward'), 440.6889999983832, 0.0017175013963178043%, 3
('aten::nll_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 368.53499999898486, 0.0014362949315561784%, 3
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 308.3139999983832, 0.0012015950602431498%, 8
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 221.29899999825284, 0.0008624706800081861%, 3
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 216.2289999993518, 0.000842711321191706%, 3
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 208.46199999729288, 0.0008124409188245365%, 6
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 183.78800000133924, 0.0007162787059125933%, 3
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 166.37399999890476, 0.0006484109594524611%, 3
('aten::as_strided', 'aten::copy_', 'aten::empty', 'aten::random_'), 163.1259999955073, 0.0006357524984037492%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::resize_as_'), 148.25799999851733, 0.0005778073017789706%, 3
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 146.0599999993574, 0.0005692410156504818%, 3
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::empty'), 140.39399999775924, 0.0005471588604019568%, 3
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 137.60499999998137, 0.0005362892644044815%, 6
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 137.4779999991879, 0.000535794306103512%, 3
('aten::copy_', 'aten::flatten', 'aten::view', 'aten::t'), 131.28600000357255, 0.0005116621661170177%, 3
('aten::zero_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 127.5939999956172, 0.0004972732996626883%, 3
('aten::empty', 'aten::zero_', 'aten::resize_as_', 'aten::resize_'), 127.37399999657646, 0.0004964158915913642%, 3
('aten::flatten', 'aten::view', 'aten::t', 'aten::transpose'), 124.43600000231527, 0.000484965596502211%, 3
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::flatten'), 123.740000002319, 0.00048225306913748174%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 115.15299999923445, 0.0004487868730319906%, 3
('aten::empty', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 114.9579999987036, 0.00044802689769066163%, 2
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 104.69300000136718, 0.00040802101638050356%, 3
('aten::empty_strided', 'aten::copy_', 'aten::flatten', 'aten::view'), 102.80200000293553, 0.00040065120425050884%, 3
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 98.78999999840744, 0.0003850151987912636%, 6
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 95.97200000169687, 0.00037403258082441683%, 3
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 95.53300000075251, 0.0003723216619800431%, 3
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 81.32000000146218, 0.00031692920302432676%, 3
('aten::nll_loss_forward', 'aten::empty', 'aten::empty', 'aten::resize_'), 70.98999999789521, 0.00027666999657679966%, 3
('aten::add_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 63.980000000447035, 0.0002493498574677018%, 2
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 60.149000003002584, 0.00023441926504327442%, 3
('aten::resize_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 56.95400000154041, 0.0002219673614020063%, 3
('aten::resize_', 'aten::resize_', 'aten::ones_like', 'aten::empty_like'), 56.48799999966286, 0.00022015121519932887%, 3
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_', 'aten::zeros'), 50.78499999968335, 0.00019792485950812446%, 1
('aten::empty_strided', 'aten::zero_', 'aten::mul_', 'aten::to'), 44.092999999877065, 0.00017184406478924514%, 1
('aten::zero_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 43.02199999988079, 0.00016767004638747716%, 1
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::ones_like'), 42.741999997990206, 0.00016657879973912008%, 3
('aten::empty_strided', 'aten::copy_', 'aten::zeros', 'aten::empty'), 41.00499999988824, 0.00015980917326295416%, 1
('aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 38.803999999538064, 0.00015123119520153036%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::mul_'), 36.16900000022724, 0.0001409617848506245%, 1
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::zeros'), 35.230999999679625, 0.00013730610860117752%, 2
('aten::addcdiv_', 'aten::addcdiv', 'aten::zeros', 'aten::empty'), 34.10399999888614, 0.0001329138408681048%, 2
('aten::empty', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 26.015999999828637, 0.00010139240218492773%, 2
('aten::empty', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 25.56000000005588, 9.961522908477432e-05%, 1
('aten::addcdiv', 'aten::zeros', 'aten::empty', 'aten::zero_'), 24.092999998945743, 9.389787614355246e-05%, 2
Total time: 25658727.320000306us
