kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::slow_conv_transpose2d', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 68127.91499999986, 1.5402998960132939%, 6
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 66003.48300000606, 1.4922687418428224%, 66
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 65844.37900000624, 1.4886715691617707%, 66
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 65825.31000000611, 1.488240439297936%, 66
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 65825.15600000415, 1.4882369575212369%, 66
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 65811.67500000261, 1.4879321664102727%, 66
('aten::matmul', 'aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view'), 64066.85900000011, 1.4484837273472808%, 3
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::view', 'aten::mm'), 64044.10400000017, 1.447969260933129%, 3
('aten::as_strided', 'aten::matmul', 'aten::view', 'aten::mm', 'aten::empty'), 64039.85100000014, 1.4478731051142142%, 3
('aten::glu_backward', 'aten::empty', 'aten::glu_backward', 'aten::resize_as_', 'aten::resize_'), 62544.28199999954, 1.4140598763491532%, 12
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::conv1d', 'aten::convolution'), 56283.223, 1.2725039733594254%, 6
('aten::add', 'aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::contiguous'), 54568.01199999999, 1.233724871944963%, 1
('aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::contiguous', 'aten::empty_like'), 54452.379000000015, 1.2311105324649472%, 1
('aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv1d'), 53627.89299999997, 1.2124697785234169%, 5
('aten::empty', 'aten::slice', 'aten::as_strided', 'aten::add', 'aten::conv1d'), 51773.38699999999, 1.170541364906825%, 5
('aten::unsqueeze', 'aten::as_strided', 'aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d'), 48970.92899999996, 1.1071807620470184%, 6
('aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty'), 48839.29600000002, 1.1042046795379348%, 6
('aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty', 'aten::empty'), 48837.56100000001, 1.10416545302822%, 6
('aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::add_'), 47373.19399999993, 1.0710576683877326%, 5
('aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view'), 47042.45100000003, 1.0635799199712872%, 5
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 45637.20999999996, 1.0318089114768438%, 66
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 45593.37999999907, 1.0308179616665696%, 67
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 45017.56700000237, 1.0177994404918347%, 81
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 44683.816000000574, 1.0102536843858816%, 81
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 44567.5959999999, 1.007626073458471%, 81
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 39910.95900000539, 0.9023444501053534%, 15
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_', 'aten::linear'), 37713.35700000002, 0.8526589998448121%, 3
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::linear', 'aten::t'), 37090.1290000001, 0.8385684758123%, 3
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 36718.41900000116, 0.830164506978886%, 4
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::fill_'), 36713.61100000003, 0.8300558031986255%, 4
('aten::resize_', 'aten::linear', 'aten::t', 'aten::transpose', 'aten::as_strided'), 36465.749000000185, 0.8244519062816948%, 3
