kList(4),            Time(us),                Time%,   Calls (Top 434, sorted by time)
-------------------------------------------------------------
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 17531.51500000013, 0.39636895876610573%, 5
('aten::slice', 'aten::as_strided', 'aten::sigmoid', 'aten::mul_'), 17462.446000000113, 0.39480738193643516%, 12
('aten::addmm_', 'aten::select', 'aten::as_strided', 'aten::select'), 16806.813999999547, 0.3799842378342876%, 18
('aten::matmul', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 15720.236999999994, 0.3554178843782959%, 2
('aten::as_strided', 'aten::matmul', 'aten::contiguous', 'aten::empty_like'), 15717.127999999997, 0.35534759318596015%, 2
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::contiguous'), 15712.679000000033, 0.35524700601494064%, 2
('aten::copy_', 'aten::view', 'aten::mm', 'aten::empty'), 15309.892999999982, 0.3461404417832936%, 2
('aten::empty', 'aten::copy_', 'aten::view', 'aten::mm'), 15299.767999999982, 0.34591152627271127%, 2
('aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::zero_'), 15107.169999999227, 0.34155708977816224%, 13
('aten::addmm_', 'aten::select', 'aten::as_strided', 'aten::unsqueeze'), 14645.913000000102, 0.3311285582557451%, 18
('aten::squeeze', 'aten::as_strided', 'aten::glu', 'aten::empty'), 14191.818999999836, 0.32086197456562815%, 12
('aten::transpose', 'aten::as_strided', 'aten::addmm_', 'aten::select'), 14121.749999999534, 0.3192777887966344%, 18
('aten::as_strided', 'aten::addmm_', 'aten::select', 'aten::as_strided'), 14095.643999999622, 0.31868755982683267%, 18
('aten::glu', 'aten::resize_', 'aten::narrow', 'aten::slice'), 13979.456000000217, 0.31606067238550883%, 12
('aten::empty', 'aten::glu', 'aten::resize_', 'aten::narrow'), 13947.865000000078, 0.3153464333835495%, 12
('aten::squeeze', 'aten::as_strided', 'aten::relu', 'aten::threshold'), 12799.02699999998, 0.289372424756744%, 11
('aten::as_strided', 'aten::relu', 'aten::threshold', 'aten::empty'), 12708.750999999975, 0.2873313801509828%, 11
('aten::fill_', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 12530.502999999993, 0.28330138193564697%, 1
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::sigmoid'), 12335.402999999817, 0.27889037787494053%, 12
('aten::addmm_', 'aten::squeeze', 'aten::as_strided', 'aten::glu'), 12224.205000000045, 0.27637630904079913%, 6
('aten::empty', 'aten::resize_', 'aten::cat', 'aten::_cat'), 11506.21200000003, 0.2601432488739307%, 3
('aten::resize_', 'aten::cat', 'aten::_cat', 'aten::empty'), 11504.452000000001, 0.2601034571407325%, 3
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 11173.799000000115, 0.252627743528826%, 1
('aten::as_strided', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 9286.045000000042, 0.2099476278978281%, 4
('aten::arange', 'aten::resize_', 'aten::add', 'aten::gather'), 9130.546999999999, 0.20643198305194746%, 1
('aten::l1_loss', 'aten::empty', 'aten::l1_loss', 'aten::sub'), 9073.70100000006, 0.20514675528754753%, 1
('aten::add', 'aten::gather', 'aten::empty', 'aten::resize_'), 9027.227000000003, 0.20409602744173852%, 1
('aten::resize_', 'aten::add', 'aten::gather', 'aten::empty'), 9023.717, 0.20401667006473662%, 1
('aten::as_strided', 'aten::fill_', 'aten::conv1d', 'aten::convolution'), 8470.508999999991, 0.1915092239631828%, 1
('aten::gather', 'aten::empty', 'aten::resize_', 'aten::cat'), 8162.825999999999, 0.1845528376873802%, 1
('aten::copy_', 'aten::add_', 'aten::unsafe_chunk', 'aten::unsafe_split'), 7446.590999999753, 0.16835952403582544%, 84
('aten::gather', 'aten::empty', 'aten::resize_', 'aten::view'), 7427.410000000007, 0.16792586197079615%, 2
('aten::slice_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 7353.569000000018, 0.16625639528270653%, 5
('aten::resize_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 7166.221999999951, 0.16202067832852546%, 6
('aten::broadcast_tensors', 'aten::l1_loss', 'aten::empty', 'aten::l1_loss'), 7074.351000000024, 0.15994357246455584%, 1
('aten::addmm_', 'aten::zero_', 'aten::fill_', 'aten::resize_'), 6697.537999999709, 0.15142423021377738%, 5
('aten::as_strided_', 'aten::squeeze', 'aten::as_strided', 'aten::glu'), 6441.289999999863, 0.14563073473173627%, 6
('aten::l1_loss', 'aten::sub', 'aten::empty', 'aten::abs_'), 6403.689000000071, 0.14478061600449102%, 1
('aten::add_', 'aten::unsafe_chunk', 'aten::unsafe_split', 'aten::narrow'), 6308.022999999812, 0.14261770921580672%, 84
('aten::mul', 'aten::empty', 'aten::conj', 'aten::mul'), 6235.984999998938, 0.14098900644528523%, 248
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::slice'), 6093.315000000002, 0.13776338907298522%, 5
('aten::l1_loss_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 5916.396000000008, 0.13376343813800112%, 1
('aten::addmm_', 'aten::zero_', 'aten::select', 'aten::as_strided'), 5846.761999999639, 0.13218908725760856%, 3
('aten::view', 'aten::addmm_', 'aten::zero_', 'aten::select'), 5846.069999999832, 0.13217344187160573%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::zero_'), 5838.550999999978, 0.1320034452568862%, 6
('aten::zero_', 'aten::fill_', 'aten::l1_loss_backward', 'aten::div'), 5805.343999999925, 0.1312526702089929%, 1
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::l1_loss_backward'), 5797.899999999907, 0.13108436926471845%, 1
('aten::fill_', 'aten::resize_', 'aten::zero_', 'aten::resize_'), 5745.050000000163, 0.12988948682183277%, 6
('aten::mul', 'aten::empty', 'aten::randint', 'aten::empty'), 5655.78, 0.1278711868090207%, 1
('aten::empty', 'aten::mul', 'aten::empty', 'aten::randint'), 5654.996, 0.12785346140059636%, 1
('aten::copy_', 'aten::empty', 'aten::mul', 'aten::empty'), 5642.9039999999995, 0.12758007410637792%, 1
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::mul'), 5635.364, 0.12740960270392945%, 1
('aten::copy_', 'aten::addmm_', 'aten::squeeze', 'aten::as_strided'), 5561.181000000033, 0.125732403758594%, 6
('aten::as_strided', 'aten::copy_', 'aten::addmm_', 'aten::squeeze'), 5557.963000000018, 0.1256596481918723%, 6
('aten::empty', 'aten::l1_loss', 'aten::sub', 'aten::empty'), 5528.904000000097, 0.12500265502426797%, 1
('aten::as_strided', 'aten::copy_', 'aten::add_', 'aten::unsafe_chunk'), 5467.831999999849, 0.12362188188230838%, 84
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 5283.787999997017, 0.11946084225462812%, 388
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::randint'), 5222.8240000000005, 0.11808251087818777%, 1
('aten::gather', 'aten::empty', 'aten::resize_', 'aten::gather'), 5166.864, 0.11681731463402112%, 1
('aten::unsafe_chunk', 'aten::unsafe_split', 'aten::narrow', 'aten::slice'), 5155.175999999861, 0.11655306135128354%, 84
('aten::empty', 'aten::arange', 'aten::resize_', 'aten::add'), 5133.218999999997, 0.11605663687070822%, 1
('aten::zero_', 'aten::fill_', 'aten::select', 'aten::as_strided'), 5002.115000000689, 0.1130925144905376%, 15
('aten::empty', 'aten::slice', 'aten::as_strided', 'aten::add'), 4981.624999999942, 0.11262925732392001%, 5
('aten::zero_', 'aten::fill_', 'aten::transpose', 'aten::as_strided'), 4928.709999999963, 0.11143290529997342%, 6
('aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::transpose'), 4927.479999999283, 0.11140509630459842%, 6
('aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 4917.145999999484, 0.11117145552570343%, 6
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::fill_'), 4742.983000000007, 0.10723381482748806%, 5
('aten::select', 'aten::as_strided', 'aten::resize_', 'aten::zero_'), 4696.536999999778, 0.10618372003197603%, 6
('aten::fill_', 'aten::l1_loss_backward', 'aten::div', 'aten::to'), 4647.475999999966, 0.10507450286016005%, 1
