kList(3),            Time(us),                Time%,   Calls (Top 367, sorted by calls)
-------------------------------------------------------------
('aten::relu', 'aten::threshold', 'aten::empty'), 12694.512000000053, 0.28700945146405304%, 11
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 404605.40299999947, 9.147699003665638%, 11
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 128556.61899999972, 2.906528797740553%, 11
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 147564.79900000012, 3.3362835858828683%, 11
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 147540.75500000024, 3.3357399765459386%, 11
('aten::unbind', 'aten::select', 'aten::as_strided'), 673.6520000003511, 0.015230557188630978%, 10
('aten::stack', 'aten::unsqueeze', 'aten::as_strided'), 2320.113999999623, 0.052455316633987906%, 10
('aten::unsqueeze', 'aten::as_strided', 'aten::cat'), 1601.6769999997923, 0.03621221809806699%, 10
('aten::as_strided', 'aten::cat', 'aten::_cat'), 3112.261999999988, 0.07036494269589957%, 10
('aten::resize_', 'aten::zero_', 'aten::resize_'), 68.7410000001546, 0.0015541610975778161%, 10
('aten::zeros', 'aten::empty', 'aten::zero_'), 3267.249000000331, 0.07386903437379609%, 8
('aten::empty', 'aten::empty', 'aten::resize_'), 22.35699999971621, 0.000505468056298687%, 7
('aten::threshold', 'aten::empty', 'aten::conv1d'), 28134.05400000001, 0.6360811196208265%, 6
('aten::empty', 'aten::conv1d', 'aten::convolution'), 49639.034, 1.122285907449252%, 6
('aten::as_strided', 'aten::_convolution_nogroup', 'aten::_nnpack_available'), 24503.23599999999, 0.5539921757885774%, 6
('aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d'), 48930.202999999994, 1.1062599903844041%, 6
('aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward'), 48829.12899999998, 1.1039748144519004%, 6
('aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty'), 48831.723000000005, 1.1040334620404886%, 6
('aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty'), 24403.46800000003, 0.5517365271308224%, 6
('aten::empty', 'aten::view', 'aten::view'), 151.09999999997672, 0.003416210730763936%, 6
('aten::view', 'aten::view', 'aten::detach'), 153.08599999998842, 0.0034611120842473124%, 6
('aten::view', 'aten::detach', 'aten::resize_'), 163.25700000001962, 0.00369106760603892%, 6
('aten::detach', 'aten::resize_', 'aten::select'), 51.595000000052096, 0.001166508224050102%, 6
('aten::copy_', 'aten::addmm_', 'aten::squeeze'), 5555.220000000016, 0.12559763187132633%, 6
('aten::addmm_', 'aten::squeeze', 'aten::as_strided'), 4540.409000000036, 0.10265383155433265%, 6
('aten::as_strided', 'aten::add', 'aten::conv1d'), 69915.27099999995, 1.5807101193547668%, 6
('aten::add', 'aten::conv1d', 'aten::convolution'), 134776.657, 3.0471572594305845%, 6
('aten::slice', 'aten::as_strided', 'aten::conv_transpose1d'), 68438.2460000001, 1.5473161507604127%, 6
('aten::as_strided', 'aten::conv_transpose1d', 'aten::convolution'), 136811.87900000002, 3.093171470124747%, 6
('aten::conv_transpose1d', 'aten::convolution', 'aten::_convolution'), 205163.38599999994, 4.6385265440977586%, 6
('aten::as_strided', 'aten::_convolution_nogroup', 'aten::slow_conv_transpose2d'), 136124.7470000001, 3.0776361444341354%, 6
('aten::_convolution_nogroup', 'aten::slow_conv_transpose2d', 'aten::empty_like'), 136166.47000000003, 3.0785794572092477%, 6
('aten::slow_conv_transpose2d', 'aten::empty_like', 'aten::empty'), 68102.14899999992, 1.539717354082859%, 6
('aten::empty_like', 'aten::empty', 'aten::resize_'), 4493.538999999873, 0.1015941505685518%, 6
('aten::empty', 'aten::resize_', 'aten::resize_'), 4476.714999999967, 0.10121377777348854%, 6
('aten::resize_', 'aten::resize_', 'aten::zero_'), 5826.064999999944, 0.13172115004057622%, 6
('aten::fill_', 'aten::resize_', 'aten::fill_'), 1408.9300000000512, 0.03185441287158272%, 6
('aten::resize_', 'aten::fill_', 'aten::select'), 96.49100000003818, 0.0021815591636156467%, 6
('aten::select', 'aten::as_strided', 'aten::squeeze'), 95.20900000014808, 0.0021525745034140275%, 6
('aten::as_strided', 'aten::squeeze', 'aten::as_strided'), 89.16699999995762, 0.0020159712920577765%, 6
('aten::empty', 'aten::zero_', 'aten::fill_'), 5481.841000000073, 0.12393861051320212%, 6
('aten::empty_like', 'aten::empty', 'aten::slow_conv_transpose2d_backward'), 101968.47200000007, 2.3053989956721104%, 6
('aten::empty', 'aten::slow_conv_transpose2d_backward', 'aten::empty'), 101951.62599999993, 2.3050181254803768%, 6
('aten::slow_conv_transpose2d_backward', 'aten::empty', 'aten::empty'), 101943.97799999954, 2.3048452123124727%, 6
('aten::empty', 'aten::resize_', 'aten::zero_'), 2207.1900000000605, 0.049902224770590475%, 6
('aten::select', 'aten::as_strided', 'aten::resize_'), 46.46799999976065, 0.0010505921921664155%, 6
('aten::as_strided', 'aten::resize_', 'aten::zero_'), 4681.107999999891, 0.10583488670726007%, 6
('aten::zero_', 'aten::resize_', 'aten::fill_'), 73.52900000021327, 0.0016624126990278539%, 6
('aten::resize_', 'aten::fill_', 'aten::resize_'), 71.03099999995902, 0.0016059355686088056%, 6
('aten::thnn_conv2d_backward', 'aten::empty', 'aten::empty'), 71869.27599999914, 1.6248880998244202%, 6
('aten::empty', 'aten::view', 'aten::resize_as_'), 50.014000000664964, 0.0011307634910041396%, 6
('aten::view', 'aten::resize_as_', 'aten::resize_'), 65.76500000059605, 0.0014868768941810793%, 6
('aten::resize_as_', 'aten::resize_', 'aten::resize_as_'), 70.14700000011362, 0.0015859492662562732%, 6
('aten::resize_', 'aten::resize_as_', 'aten::resize_'), 41.889999999664724, 0.0009470884679720579%, 6
('aten::resize_as_', 'aten::resize_', 'aten::zero_'), 2478.086999999592, 0.056026918604675846%, 6
('aten::zero_', 'aten::fill_', 'aten::transpose'), 4920.547999999486, 0.11124837113725915%, 6
('aten::fill_', 'aten::transpose', 'aten::as_strided'), 2473.3980000000447, 0.055920905288229725%, 6
('aten::transpose', 'aten::as_strided', 'aten::select'), 54.330000000773, 0.0012283436730977759%, 6
('aten::resize_', 'aten::zero_', 'aten::view'), 18.61100000026636, 0.000420774969630492%, 6
('aten::zero_', 'aten::view', 'aten::select'), 30.41800000006333, 0.0006877187161390453%, 6
('aten::view', 'aten::select', 'aten::as_strided'), 29.79600000055507, 0.00067365595589513%, 6
('aten::slice', 'aten::as_strided', 'aten::conv1d'), 53605.14299999998, 1.2119554251539604%, 5
('aten::as_strided', 'aten::conv1d', 'aten::convolution'), 107157.26499999998, 2.422712101736407%, 5
('aten::select', 'aten::as_strided', 'aten::linear'), 19103.698000000062, 0.431914348807967%, 5
('aten::as_strided', 'aten::linear', 'aten::t'), 19136.886000000028, 0.4326646942860113%, 5
('aten::transpose', 'aten::as_strided', 'aten::matmul'), 47444.40200000015, 1.0726676057386064%, 5
('aten::view', 'aten::mm', 'aten::empty'), 46984.67300000004, 1.062273620675443%, 5
('aten::mm', 'aten::empty', 'aten::_unsafe_view'), 47003.812999999995, 1.062706355773965%, 5
('aten::empty', 'aten::_unsafe_view', 'aten::view'), 79.4309999999823, 0.0017958506588702284%, 5
('aten::_unsafe_view', 'aten::view', 'aten::add_'), 417.9989999999525, 0.009450514025470895%, 5
('aten::threshold', 'aten::empty', 'aten::slice'), 3062.2850000000326, 0.0692350157356662%, 5
('aten::empty', 'aten::slice', 'aten::as_strided'), 106.08099999994738, 0.0023983788916614505%, 5
('aten::slice', 'aten::as_strided', 'aten::add'), 4958.226999999897, 0.11210025336178514%, 5
('aten::zero_', 'aten::resize_', 'aten::zero_'), 1057.571000000229, 0.02391055856218455%, 5
('aten::slice_backward', 'aten::zeros', 'aten::empty'), 5785.834000000032, 0.13081156980292508%, 5
('aten::zero_', 'aten::fill_', 'aten::slice'), 3150.097000000067, 0.07122035191495149%, 5
('aten::fill_', 'aten::slice', 'aten::as_strided'), 1592.1400000002468, 0.035996596643813196%, 5
('aten::slice', 'aten::as_strided', 'aten::copy_'), 2488.9330000001937, 0.056272135160519175%, 5
('aten::transpose', 'aten::as_strided', 'aten::t'), 53.84799999999814, 0.0012174461643295724%, 5
('aten::as_strided', 'aten::t', 'aten::transpose'), 43.0920000000624, 0.0009742644130398105%, 5
('aten::squeeze', 'aten::as_strided', 'aten::add'), 4250.133999999845, 0.09609102169415194%, 5
('aten::gather', 'aten::empty', 'aten::resize_'), 12577.938000000007, 0.28437383697213847%, 4
('aten::empty_like', 'aten::empty', 'aten::copy_'), 516.4830000001239, 0.011677132805147882%, 4
('aten::view', 'aten::add_', 'aten::unbind'), 657.1899999999732, 0.014858368829589711%, 4
('aten::add_', 'aten::unbind', 'aten::select'), 668.5879999999597, 0.015116065519921989%, 4
('aten::mul', 'aten::empty', 'aten::stack'), 928.3490000001038, 0.020988986205789626%, 4
('aten::empty', 'aten::stack', 'aten::unsqueeze'), 893.6079999999492, 0.020203529044982106%, 4
('aten::fill_', 'aten::zero_', 'aten::fill_'), 25732.41300000064, 0.5817825639911657%, 4
('aten::randint', 'aten::empty', 'aten::random_'), 76.24700000000286, 0.0017238637960860865%, 3
('aten::empty', 'aten::resize_', 'aten::cat'), 5776.526000000022, 0.13060112579576433%, 3
('aten::resize_', 'aten::cat', 'aten::_cat'), 11501.837000000027, 0.26004433476441974%, 3
('aten::contiguous', 'aten::empty_like', 'aten::empty'), 480.52800000007846, 0.010864228392012268%, 3
('aten::empty', 'aten::resize_', 'aten::linear'), 36418.258, 0.8233781851445978%, 3
('aten::resize_', 'aten::linear', 'aten::t'), 36450.86200000008, 0.8241153270020837%, 3
('aten::as_strided', 'aten::matmul', 'aten::view'), 32071.09100000013, 0.7250933502417208%, 3
('aten::matmul', 'aten::view', 'aten::mm'), 64030.66000000009, 1.4476653063529525%, 3
('aten::addmm_', 'aten::zero_', 'aten::select'), 5843.733999999706, 0.1321206273893589%, 3
('aten::zero_', 'aten::select', 'aten::as_strided'), 53.549999999580905, 0.0012107087004037409%, 3
('aten::copy_', 'aten::empty', 'aten::sub'), 2074.5959999999973, 0.046904415070820785%, 2
('aten::empty', 'aten::random_', 'aten::expand'), 35.195000000004256, 0.0007957216192539363%, 2
('aten::random_', 'aten::expand', 'aten::as_strided'), 35.65099999999984, 0.0008060312955822853%, 2
('aten::arange', 'aten::empty', 'aten::arange'), 252.3060000000005, 0.005704371043257843%, 2
('aten::empty', 'aten::arange', 'aten::resize_'), 120.52200000000084, 0.002724874584336184%, 2
('aten::empty', 'aten::resize_', 'aten::view'), 35.346000000005006, 0.0007991355690907861%, 2
('aten::as_strided', 'aten::matmul', 'aten::contiguous'), 15705.326000000001, 0.35508076248414366%, 2
('aten::matmul', 'aten::contiguous', 'aten::empty_like'), 15714.872000000003, 0.35529658741886166%, 2
('aten::empty', 'aten::copy_', 'aten::view'), 328.82300000000396, 0.007434339252959473%, 2
('aten::copy_', 'aten::view', 'aten::mm'), 15294.402999999991, 0.34579022931327696%, 2
('aten::empty', 'aten::resize_', 'aten::stack'), 87.59399999998277, 0.0019804074305130605%, 2
('aten::resize_', 'aten::stack', 'aten::unsqueeze'), 91.57499999995343, 0.0020704136179324722%, 2
('aten::permute', 'aten::as_strided', 'aten::add'), 294.9279999997234, 0.006668009254811095%, 2
('aten::to', 'aten::slice', 'aten::as_strided'), 19.149, 0.00043293857897689405%, 1
('aten::slice', 'aten::as_strided', 'aten::slice'), 23.374000000000024, 0.0005284613475902622%, 1
('aten::as_strided', 'aten::slice', 'aten::as_strided'), 10.550000000000011, 0.00023852430979195974%, 1
('aten::slice', 'aten::as_strided', 'aten::randint'), 30.391999999999996, 0.0006871308837153774%, 1
('aten::as_strided', 'aten::randint', 'aten::empty'), 26.960999999999956, 0.000609559612919527%, 1
