kList(5),            Time(us),                Time%,   Calls (Top 213, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::copy_', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 157359.20500000048, 1.169049038142422%, 39
('aten::copy_', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 157253.9429999998, 1.1682670283460852%, 39
('aten::threshold_', 'aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 149538.84900000232, 1.1109502465291246%, 48
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 125620.47900000098, 0.933256495201161%, 2
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::narrow', 'aten::slice'), 111517.99000000214, 0.8284866395015044%, 78
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 102534.59299999964, 0.7617474130158062%, 3
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view', 'aten::conv2d'), 98560.50099999842, 0.7322231889318646%, 9
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::cat'), 87878.14599999791, 0.652862106509985%, 48
('aten::transpose', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 85722.63200000313, 0.6368484162501974%, 48
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 85458.93500000593, 0.6348893651466553%, 48
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 84704.1630000011, 0.6292820320349859%, 2
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view'), 82204.84299999499, 0.6107141469086136%, 48
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 81126.29399999995, 0.6027014178723067%, 3
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 79527.8579999961, 0.5908263574439274%, 111
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 72662.28500000015, 0.5398208156204173%, 3
('aten::as_strided', 'aten::view', 'aten::transpose', 'aten::as_strided', 'aten::contiguous'), 72490.82000000286, 0.5385469721657434%, 39
('aten::empty', 'aten::copy_', 'aten::view', 'aten::chunk', 'aten::split'), 65453.4159999984, 0.48626486780950434%, 39
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view', 'aten::chunk'), 65363.80699999974, 0.48559914688610917%, 39
('aten::copy_', 'aten::view', 'aten::chunk', 'aten::split', 'aten::narrow'), 65107.65899999824, 0.4836961786229951%, 39
('aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 61020.96799999985, 0.4533354368873375%, 3
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 60962.314000000246, 0.45289968606943815%, 3
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_', 'aten::add'), 55963.53900000057, 0.4157629128781909%, 9
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 49406.959000000264, 0.36705293405932116%, 3
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 48436.238999999594, 0.3598412855109799%, 3
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 48382.54399999976, 0.35944237597084294%, 3
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 43071.28500000085, 0.3199841045257502%, 2
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 40924.48399999153, 0.3040351446657657%, 111
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 40756.92500000012, 0.30279031956785%, 3
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 31513.935999999754, 0.23412253874110153%, 510
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 28324.50900000357, 0.21042772809071095%, 510
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_', 'aten::view'), 26826.008999998914, 0.19929510967374667%, 9
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 26574.7959999959, 0.1974288043881906%, 507
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 26138.44300000323, 0.194187061682818%, 507
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 24528.93100000918, 0.18222971571458102%, 510
